Id,PostType,CreationDate,Score,ViewCount,Tags,AnswerCount,FavoriteCount
"49302","Question","2019-04-15 04:00:33","0","1818","<python><statistics>","1",""
"49303","Answer","2019-04-15 04:34:33","4","","","",""
"49304","Question","2019-04-15 05:35:40","0","123","<logistic-regression>","1",""
"49305","Answer","2019-04-15 05:43:03","0","","","",""
"49306","Question","2019-04-15 06:02:12","0","172","<nlp><chatbot>","1","1"
"49307","Answer","2019-04-15 06:08:40","7","","","",""
"49308","Question","2019-04-15 06:43:06","0","33","<machine-learning><optimization><loss-function>","0",""
"49310","Question","2019-04-15 07:01:44","1","78","<python><classification><predictive-modeling><decision-trees><xgboost>","0",""
"49312","Answer","2019-04-15 07:25:48","0","","","",""
"49313","Question","2019-04-15 07:26:43","2","926","<deep-learning><nlp><transfer-learning>","2",""
"49314","Answer","2019-04-15 08:01:28","1","","","",""
"49315","Answer","2019-04-15 08:01:33","1","","","",""
"49316","Question","2019-04-15 08:34:16","3","1993","<python><dimensionality-reduction><geospatial>","2",""
"49318","Answer","2019-04-15 10:16:58","0","","","",""
"49319","Question","2019-04-15 11:56:24","0","239","<cnn><binary>","2",""
"49322","Answer","2019-04-15 13:09:21","5","","","",""
"49323","Answer","2019-04-15 13:25:36","3","","","",""
"49325","Answer","2019-04-15 13:49:12","1","","","",""
"49326","Answer","2019-04-15 13:55:19","1","","","",""
"49327","Question","2019-04-15 14:04:40","6","930","<pyspark><pipelines>","2",""
"49328","Question","2019-04-15 14:06:55","0","144","<machine-learning><python><neural-network><deep-learning><tensorflow>","0",""
"49330","Question","2019-04-15 14:35:36","0","50","<statistics>","1",""
"49331","Answer","2019-04-15 15:11:48","0","","","",""
"49333","Question","2019-04-15 15:31:11","3","480","<keras>","1",""
"49334","Question","2019-04-15 15:48:03","2","145","<machine-learning><neural-network><deep-learning>","2",""
"49335","Answer","2019-04-15 16:00:53","0","","","",""
"49338","Answer","2019-04-15 16:39:13","5","","","",""
"49339","Answer","2019-04-15 16:58:12","2","","","",""
"49340","Question","2019-04-15 17:22:52","1","743","<classification><scikit-learn><xgboost>","1",""
"49341","Answer","2019-04-15 17:34:48","9","","","",""
"49344","Question","2019-04-15 17:56:37","3","1418","<python><xgboost><cross-validation>","1",""
"49345","Question","2019-04-15 18:05:40","2","49","<python><computer-vision><opencv>","1",""
"49347","Answer","2019-04-15 18:28:42","2","","","",""
"49348","Answer","2019-04-15 18:41:16","1","","","",""
"49349","Answer","2019-04-15 19:00:59","-1","","","",""
"49350","Answer","2019-04-15 19:26:10","5","","","",""
"49351","Answer","2019-04-15 19:28:21","2","","","",""
"49354","Answer","2019-04-15 21:39:33","0","","","",""
"49355","Question","2019-04-15 22:24:14","3","114","<machine-learning><deep-learning><neural-network><time-series>","1",""
"49357","Answer","2019-04-15 22:44:19","0","","","",""
"49359","Question","2019-04-15 23:24:51","0","41","<keras><tensorflow>","1",""
"49360","Question","2019-04-16 00:32:17","6","1620","<deep-learning><reinforcement-learning>","1","2"
"49361","Answer","2019-04-16 01:06:03","1","","","",""
"49362","Question","2019-04-16 01:30:45","1","253","<random-forest><decision-trees><anomaly-detection>","1",""
"49363","Question","2019-04-16 02:47:22","3","336","<machine-learning><python><pandas><accuracy>","2",""
"49364","Answer","2019-04-16 03:23:05","3","","","",""
"49366","Question","2019-04-16 04:12:17","6","689","<classification><keras><tensorflow><image-classification>","4","2"
"49367","Answer","2019-04-16 04:14:07","0","","","",""
"49368","Answer","2019-04-16 04:14:19","1","","","",""
"49369","Answer","2019-04-16 04:51:06","1","","","",""
"49370","Answer","2019-04-16 04:59:56","3","","","",""
"49372","Question","2019-04-16 05:25:01","0","57","<linear-regression><prediction><matlab>","2",""
"49374","Question","2019-04-16 06:08:11","1","42","<r><dataset>","2",""
"49376","Answer","2019-04-16 06:11:36","2","","","",""
"49377","Question","2019-04-16 07:43:27","5","261","<classification><svm><unsupervised-learning>","3","3"
"49378","Answer","2019-04-16 07:46:11","1","","","",""
"49379","Answer","2019-04-16 08:11:30","-1","","","",""
"49380","Answer","2019-04-16 08:15:02","1","","","",""
"61954","Question","2019-10-19 09:06:26","1","697","<transformer>","1",""
"61955","Answer","2019-10-19 09:30:34","0","","","",""
"61957","Question","2019-10-19 11:39:35","3","685","<machine-learning><random-forest><feature-engineering>","1",""
"61958","Answer","2019-10-19 13:16:38","3","","","",""
"61960","Answer","2019-10-19 13:49:50","0","","","",""
"61961","Question","2019-10-19 15:42:54","0","98","<machine-learning><python><r><data-cleaning><excel>","3",""
"61962","Answer","2019-10-19 15:56:51","3","","","",""
"61963","Answer","2019-10-19 15:58:17","1","","","",""
"61964","Question","2019-10-19 16:56:33","-1","3095","<python><pandas><dataframe>","1",""
"61965","Answer","2019-10-19 17:22:41","0","","","",""
"61966","Answer","2019-10-19 18:58:11","0","","","",""
"61969","Question","2019-10-19 23:31:54","0","1212","<neural-network><deep-learning><keras>","0",""
"61970","Answer","2019-10-20 00:46:39","3","","","",""
"61972","Question","2019-10-20 02:23:21","2","47","<neural-network><backpropagation>","1",""
"61975","Question","2019-10-20 03:23:59","1","52","<scikit-learn><pandas><feature-extraction>","0",""
"61976","Question","2019-10-20 04:36:06","2","272","<logistic-regression><mathematics>","1","2"
"61980","Answer","2019-10-20 08:03:45","1","","","",""
"61982","Question","2019-10-20 09:51:40","0","492","<keras><regression><multi-output><functional-api>","1",""
"61984","Answer","2019-10-20 10:36:23","5","","","",""
"61988","Question","2019-10-20 11:17:25","0","31","<gan><generative-models>","1",""
